Strain,PlantID,LeafID,PlateID,log10CFUpermg
B3SN17-2,2,1,2,5.71947
B3SN17-2,3,1,2,5.73826
IVIA6629,1,1,2,1.10252
IVIA6629,2,1,2,0.60728
IVIA6629,3,1,2,0.59101
XYL1966,1,1,2,3.18555
XYL1966,2,1,2,3.46156
XYL1966,3,1,2,2.63971
CO33,1,1,2,3.32635
CO33,2,1,2,3.28122
CO33,3,1,2,3.54357
AlmaReb1,1,1,2,4.02837
AlmaReb1,2,1,2,3.51146
AlmaReb1,3,1,2,4.5925
Med1,1,1,2,4.78576
Med1,2,1,2,4.93359
Med1,3,1,2,2.34122
AlmaReb3,1,1,2,4.54698
AlmaReb3,2,1,2,4.01569
AlmaReb3,3,1,2,3.75967
PBS,1,2,2,-0.14924753
PBS,2,2,2,-0.133257595
PBS,3,2,2,1.247080002
AlmaEm3,1,2,2,4.397418898
AlmaEm3,2,2,2,3.671442306
AlmaEm3,3,2,2,4.587088805
XYL468,1,2,2,-0.336250642
XYL468,2,2,2,-0.089701624
XYL468,3,2,2,-0.119797605
XYL2014,1,2,2,4.430354474
XYL2014,2,2,2,4.866006055
XYL2014,3,2,2,4.897814936
TOS4,1,2,2,0.814381822
TOS4,2,2,2,-0.119136471
TOS4,3,2,2,-0.432756703
IVIA5387.2,1,2,2,5.890989882
IVIA5387.2,2,2,2,5.757367979
IVIA5387.2,3,2,2,5.746814053
CIST-18,1,2,2,0.543123534
CIST-18,2,2,2,0.377508618
CIST-18,3,2,2,-0.189985285
IVIA11529,1,2,2,3.455751076
IVIA11529,2,2,2,3.691325481
IVIA11529,3,2,2,3.995445883
CFBP8356,1,2,2,2.201339834
CFBP8356,2,2,2,0.367078245
CFBP8356,3,2,2,0.429544946
CFBP8073,1,2,2,2.400592512
CFBP8073,2,2,2,2.529441652
CFBP8073,3,2,2,2.432471288
IVIA5770,1,2,2,5.026961554
IVIA5770,2,2,2,5.416464026
IVIA5770,3,2,2,5.168538987
IVIA5235,1,2,2,0.010913035
IVIA5235,2,2,2,0.544317128
IVIA5235,3,2,2,-0.420196554
B3SN17-2,1,2,2,5.189667956
B3SN17-2,2,2,2,5.20462404
B3SN17-2,3,2,2,5.194293817
IVIA6629,1,2,2,-0.002188374
IVIA6629,2,2,2,0.336120157
IVIA6629,3,2,2,-0.388007248
XYL1966,1,2,2,2.039418493
XYL1966,2,2,2,2.391993074
XYL1966,3,2,2,1.676209374
CO33,1,2,2,2.341121281
CO33,2,2,2,3.358924799
CO33,3,2,2,3.045506254
AlmaReb1,1,2,2,4.748300253
AlmaReb1,2,2,2,3.52832968
AlmaReb1,3,2,2,4.73825177
Med1,1,2,2,5.335725108
Med1,2,2,2,5.417051577
Med1,3,2,2,0.909953247
AlmaReb3,1,2,2,4.655018001
AlmaReb3,2,2,2,4.194549641
AlmaReb3,3,2,2,4.86302555
